Reference;Name;Category;Short description;Size;Color;Structure;Price/RUB;Images
KSM0004;Вязаный брючный костюм KSM0004;Костюмы вязаные;Вязаный брючный костюм светло-серого цвета с карманом-кергуру и широкими расклешенными брюками на кулисе. Кофта костюма свободного кроя с капюшоном и спущенным рукавом. Модель свободного кроя – отлично садится даже на нестандартную фигуру. Костюм представлен в едином размере. Замеры для (42–48) размера: длина вязаной кофты по спинке 70-72 см, рукава 42-44 см, вязаные брюки по наружному шву 100 см, по внутреннему шву 76 см, пояс 5 см.;42-48;светло-серый;шерсть, акрил;2472;https://niko-opt.com/12525-large_default/vyazanyj-bryuchnyj-kostyum-ksm0004.jpg,https://niko-opt.com/12526-large_default/vyazanyj-bryuchnyj-kostyum-ksm0004.jpg,https://niko-opt.com/12527-large_default/vyazanyj-bryuchnyj-kostyum-ksm0004.jpg,https://niko-opt.com/12528-large_default/vyazanyj-bryuchnyj-kostyum-ksm0004.jpg
VKV0003;Вязаный женский костюм VKV0003;Костюмы вязаные;"Вязаный женский костюм горчичного цвета из хлопковой пряжи. Комплектация: ажурная кофта со спущенным плечом и укороченные штаны на кулиске. Костюм в едином универсальном размере ""one size"", подойдет на 42–48 размер. Замеры костюма: длина кофты по спинке 59-60 см, рукава 48-50 см, длина штанов по наружному шву 87-90 см, по внутреннему шву 66-68 см, пояс 5-6 см.";42-48;горчичный;;2183;https://niko-opt.com/11576-large_default/vyazanyj-zhenskij-kostyum-vkv0003.jpg,https://niko-opt.com/11577-large_default/vyazanyj-zhenskij-kostyum-vkv0003.jpg
VKV0005;Вязаный женский костюм VKV0005;Костюмы вязаные;"Вязаный женский костюм молочно-белого цвета из хлопковой пряжи. Комплектация: ажурная кофта со спущенным плечом и укороченные штаны на кулиске. Костюм в едином универсальном размере ""one size"", подойдет на 42–48 размер. Замеры костюма: длина кофты по спинке 59-60 см, рукава 48-50 см, длина штанов по наружному шву 87-90 см, по внутреннему шву 66-68 см, пояс 5-6 см.";42-48;молоко;;2183;https://niko-opt.com/11568-large_default/vyazanyj-zhenskij-kostyum-vkv0005.jpg,https://niko-opt.com/11569-large_default/vyazanyj-zhenskij-kostyum-vkv0005.jpg
VKV0006;Вязаный женский костюм VKV0006;Костюмы вязаные;"Вязаный женский костюм оранжевого цвета из хлопковой пряжи. Комплектация: ажурная кофта со спущенным плечом и укороченные штаны на кулиске. Костюм в едином универсальном размере ""one size"", подойдет на 42–48 размер. Замеры костюма: длина кофты по спинке 59-60 см, рукава 48-50 см, длина штанов по наружному шву 87-90 см, по внутреннему шву 66-68 см, пояс 5-6 см.";42-48;оранжевый;;2183;https://niko-opt.com/11564-large_default/vyazanyj-zhenskij-kostyum-vkv0006.jpg,https://niko-opt.com/11565-large_default/vyazanyj-zhenskij-kostyum-vkv0006.jpg
VKV0008;Вязаный женский костюм VKV0008;Костюмы вязаные;"Вязаный женский костюм болотного цвета из хлопковой пряжи. Комплектация: ажурная кофта со спущенным плечом и укороченные штаны на кулиске. Костюм в едином универсальном размере ""one size"", подойдет на 42–48 размер. Замеры костюма: длина кофты по спинке 59-60 см, рукава 48-50 см, длина штанов по наружному шву 87-90 см, по внутреннему шву 66-68 см, пояс 5-6 см.";42-48;болотный;;2183;https://niko-opt.com/11556-large_default/vyazanyj-zhenskij-kostyum-vkv0008.jpg,https://niko-opt.com/11557-large_default/vyazanyj-zhenskij-kostyum-vkv0008.jpg
VKV0009;Вязаный женский костюм VKV0009;Костюмы вязаные;"Вязаный женский костюм цвета темная-пудра из хлопковой пряжи. Комплектация: ажурная кофта со спущенным плечом и укороченные штаны на кулиске. Костюм в едином универсальном размере ""one size"", подойдет на 42–48 размер. Замеры костюма: длина кофты по спинке 59-60 см, рукава 48-50 см, длина штанов по наружному шву 87-90 см, по внутреннему шву 66-68 см, пояс 5-6 см.";42-48;темная пудра;;2183;https://niko-opt.com/11552-large_default/vyazanyj-zhenskij-kostyum-vkv0009.jpg,https://niko-opt.com/11553-large_default/vyazanyj-zhenskij-kostyum-vkv0009.jpg
VKV0010;Вязаный женский костюм VKV0010;Костюмы вязаные;"Вязаный женский костюм темно-синего цвета из хлопковой пряжи. Комплектация: ажурная кофта со спущенным плечом и укороченные штаны на кулиске. Костюм в едином универсальном размере ""one size"", подойдет на 42–48 размер. Замеры костюма: длина кофты по спинке 59-60 см, рукава 48-50 см, длина штанов по наружному шву 87-90 см, по внутреннему шву 66-68 см, пояс 5-6 см.";42-48;темно-синий;;2183;https://niko-opt.com/11548-large_default/vyazanyj-zhenskij-kostyum-vkv0010.jpg,https://niko-opt.com/11549-large_default/vyazanyj-zhenskij-kostyum-vkv0010.jpg
VKV0011;Вязаный женский костюм VKV0011;Костюмы вязаные;"Вязаный женский костюм цвета синий электрик из хлопковой пряжи. Комплектация: ажурная кофта со спущенным плечом и укороченные штаны на кулиске. Костюм в едином универсальном размере ""one size"", подойдет на 42–48 размер. Замеры костюма: длина кофты по спинке 59-60 см, рукава 48-50 см, длина штанов по наружному шву 87-90 см, по внутреннему шву 66-68 см, пояс 5-6 см.";42-48;электрик;;2183;https://niko-opt.com/11544-large_default/vyazanyj-zhenskij-kostyum-vkv0011.jpg,https://niko-opt.com/11545-large_default/vyazanyj-zhenskij-kostyum-vkv0011.jpg
KDB0002;"Вязаный кардиган ""BUDDY"" KDB0002";Кардиганы вязаные;"Вязаный кардиган ""BUDDY"" произведен из высококачественной пряжи. Длина кардигана по спинке: 86-88 см Длина рукава: 62 см";42-50;марсала, светло-серый, молоко;хлопок, акрил;1578;https://niko-opt.com/7352-large_default/vyazanyj-kardigan-buddy-kdb0002.jpg,https://niko-opt.com/7351-large_default/vyazanyj-kardigan-buddy-kdb0002.jpg
KDB0004;"Вязаный кардиган ""BUDDY"" KDB0004";Кардиганы вязаные;"Вязаный кардиган ""BUDDY"" произведен из высококачественной пряжи. Длина кардигана по спинке: 86-88 см Длина рукава: 62 см";42-50;марсала, темно-синий, светло-серый;хлопок, акрил;1578;https://niko-opt.com/7359-large_default/vyazanyj-kardigan-buddy-kdb0004.jpg,https://niko-opt.com/7360-large_default/vyazanyj-kardigan-buddy-kdb0004.jpg
VKE0001;"Вязаный кардиган ""EDISSON"" VKE0001";Кардиганы вязаные;Длина кардигана по спинке - 85 см Длина рукава - 51 см;42-50;молоко, черный, пудра;хлопок, акрил;2606;https://niko-opt.com/11964-large_default/vyazanyj-kardigan-edisson-vke0001.jpg,https://niko-opt.com/11965-large_default/vyazanyj-kardigan-edisson-vke0001.jpg
VKE0003;"Вязаный кардиган ""EDISSON"" VKE0003";Кардиганы вязаные;Длина кардигана по спинке - 85 см Длина рукава - 51 см;42-50;молоко, черный, графит;хлопок, акрил;2606;https://niko-opt.com/11966-large_default/vyazanyj-kardigan-edisson-vke0003.jpg,https://niko-opt.com/11967-large_default/vyazanyj-kardigan-edisson-vke0003.jpg
VKF0001;"Вязаный кардиган ""FAITH"" VKF0001";Кардиганы вязаные;Женский вязаный кардиган с изюминкой - фактурными косами по краю полочки. Кардиган без застежек,прямого фасона,по бокам разрезы. Длина по спинке - 100 см  Длина рукава - 41см;42-50;молоко;хлопок, акрил;2022;https://niko-opt.com/12029-large_default/vyazanyj-kardigan-faith-vkf0001.jpg,https://niko-opt.com/12030-large_default/vyazanyj-kardigan-faith-vkf0001.jpg
VKF0002;"Вязаный кардиган ""FAITH"" VKF0002";Кардиганы вязаные;Женский вязаный кардиган с изюминкой - фактурными косами по краю полочки. Кардиган без застежек,прямого фасона,по бокам разрезы. Длина по спинке - 100 см  Длина рукава - 41см;42-50;пудровый;хлопок, акрил;2022;https://niko-opt.com/12031-large_default/vyazanyj-kardigan-faith-vkf0002.jpg,https://niko-opt.com/12032-large_default/vyazanyj-kardigan-faith-vkf0002.jpg
